title,listed_in,description,rating
Garth Brooks: The Road I’m On,Docuseries,"Revealing interviews and archive footage tell the story of Garth Brooks' humble beginnings, rise to fame and unprecedented impact on country music.",TV-PG
Gilmore Girls,"Romantic TV Shows, TV Comedies, TV Dramas","Fiercely independent single mom Lorelai raises gifted, Ivy League-bound daughter Rory amid a continual stream of quick-witted repartee.",TV-14
High-Rise Invasion,"Anime Series, International TV Shows, TV Thrillers","High schooler Yuri finds herself atop a skyscraper in a strange world, where she must survive against masked assailants bent on killing their prey.",TV-MA
Next in Fashion,Reality TV,"Talented designers from around the world compete for $250,000 and the chance to become the next big thing in fashion.",TV-14
Only Mine,Thrillers,"After dating a charming cop who turns into an obsessive stalker, a small-town girl must save herself from his deadly ways.",TV-14
Peasants Rebellion,"International TV Shows, TV Dramas","In feudalistic Lebanon, farmers revolt against the nobility under the leadership of a revolutionary figure who champions the oppressed.",TV-14
Power Players,Kids' TV,A kid transforms into an action figure-sized superhero and teams with his toys in a fight against a villainous robot to save the world.,TV-Y
Ricky Zoom,"British TV Shows, Kids' TV",Race along with Ricky Zoom and his loyal Bike Buddies as they zip around their two-wheeled town of Wheelford on rescue missions and learn speedy stunts!,TV-Y
Ride or Die,"Dramas, International Movies, LGBTQ Movies","Rei helps the woman she’s been in love with for years escape her abusive husband. While on the run, their feelings for each other catch fire.",TV-MA
Sonic X,"Anime Series, Kids' TV","A mission gone awry transports Sonic the Hedgehog, his friends, Dr. Eggman and the Chaos Emeralds to another dimension: Earth.",TV-Y7
The Master,"Dramas, Independent Movies","A heavy-drinking loner finds some semblance of a family when he stumbles onto the ship of Lancaster Dodd, the charismatic leader of a new ""religion.""",R
Time Is Illmatic,"Documentaries, Music & Musicals","Providing a behind-the-scenes look at the making of Nas's debut album, this documentary also delves into his deep connection to his New York roots.",TV-MA
Wave of Cinema: One Day We'll Talk About Today,"Documentaries, International Movies, Music & Musicals","Delve into a musical concert and relive moments from ""One Day We'll Talk About Today,"" a film about family and intergenerational trauma.",TV-14
Zoot Suit,"Cult Movies, Dramas, Music & Musicals","In this drama based on a 1940s trial, the members of a Mexican American gang are sentenced to San Quentin for a murder they may not have committed.",R
Ajaibnya Cinta,"International TV Shows, TV Dramas","Upon returning home from his studies abroad, young grad Akif finds himself involved with four women in this continuation of the series ""Spain Uoolss.""",TV-PG
Dad Stop Embarrassing Me!,TV Comedies,A single dad and cosmetics brand owner figures out fatherhood on the fly when his strong-minded teen daughter moves in with him.,TV-14
Fate: The Winx Saga,"British TV Shows, International TV Shows, TV Dramas","Determined to master their enchanting powers, a group of teens navigate rivalry, romance and supernatural studies at Alfea, a magical boarding school.",TV-MA
House of Cards,"TV Dramas, TV Thrillers","A ruthless politician will stop at nothing to conquer Washington, D.C., in this Emmy and Golden Globe-winning political drama.",TV-MA
Indian Matchmaking,"Reality TV, Romantic TV Shows","Matchmaker Sima Taparia guides clients in the U.S. and India in the arranged marriage process, offering an inside look at the custom in a modern era.",TV-14
Jeffrey Epstein: Filthy Rich,"Crime TV Shows, Docuseries",Stories from survivors fuel this docuseries examining how convicted sex offender Jeffrey Epstein used his wealth and power to carry out his abuses.,TV-MA
Law School,"Crime TV Shows, International TV Shows, TV Dramas","When a grim incident occurs at their prestigious school, justice through law is put to a test by a tough law professor and his ambitious students.",TV-14
Living with Yourself,"TV Comedies, TV Dramas","Burned out on life, Miles undergoes a strange procedure at a strip mall spa – and wakes to find he's been replaced by a better version of himself.",TV-MA
Signal,"Crime TV Shows, International TV Shows, Korean TV Shows","Communicating via a walkie-talkie that transcends time, a profiler from 2015 and a detective from 1989 join forces to tackle crimes and injustice.",TV-MA
Slasher,"TV Horror, TV Mysteries, TV Thrillers",Rampaging serial killers leave carnage in their wake as their next victims fight to stay alive in this horror anthology series.,TV-MA
The Soul,"Dramas, International Movies, Thrillers","While investigating the death of a businessman, a prosecutor and his wife uncover occult secrets as they face their own life-and-death dilemma.",TV-MA
The Underclass,"International TV Shows, TV Dramas, Teen TV Shows","After getting dropped from an elite program, a student gets tangled in the affairs of a high school gang while trying to find her own identity.",TV-MA
Unnatural Selection,"Docuseries, Science & Nature TV","From eradicating disease to selecting a child’s traits, gene editing gives humans the chance to hack biology. Meet the real people behind the science.",TV-MA
Uppena,"Dramas, International Movies, Romantic Movies","The son of a fishing community falls for a village head's daughter, but they face violent opposition from the girl’s doggedly old-fashioned father.",TV-14
Why Did You Kill Me?,Documentaries,The line between justice and revenge blurs when a devastated family uses social media to track down the people who killed 24-year-old Crystal Theobald.,TV-MA
Motu Patlu in Hong Kong: Kung Fu Kings 3,"Children & Family Movies, Music & Musicals","With a dangerous villain to defeat in Hong Kong, Motu takes his martial arts skills to the next level, training with a boneless master to face the foe.",TV-Y7
Motu Patlu in the City of Gold,"Children & Family Movies, Comedies, Music & Musicals","Defeated by the strong yet naive Motu in a race, an evil horseback rider challenges him to a more dangerous mission: finding a lost city of treasure!",TV-Y7
Motu Patlu Kung Fu Kings 4 The Challenge of Kung Fu Brothers,"Children & Family Movies, Music & Musicals","While in Japan, best friends Motu and Patlu have only one month to train for an epic martial arts battle against two wicked but highly skilled brothers.",TV-Y7
Motu Patlu the Superheroes – Super Villains from Mars,Children & Family Movies,"Friends Motu and Patlu must save the world from three space thieves, but the job gets much harder when a cosmic collision gives the enemies superpowers!",TV-Y7
My Love: Six Stories of True Love,Docuseries,Six longtime couples in different parts of the world share their decades-long love in these tender portraits filmed over the course of one year.,TV-PG
Shiva VS Autobots,Children & Family Movies,"When an evil enemy gains control of a gadget that sends vehicles destructively spinning out of control, kid superhero Shiva must stop the chaos!",TV-Y7
Shiva: Journey to Plunotaria,Children & Family Movies,Young superhero Shiva must use his powers to thwart a scheming scientist’s plans to blast Earth with explosive pellets from planet Plunotaria.,TV-Y7
Shiva: The Secret World Of Vedas City,Children & Family Movies,"When the residents of Vedas are ordered to evacuate by a prince who claims the town as his own, young Shiva sets out to save the city and its citizens.",TV-Y
The Baker and the Beauty,"Romantic TV Shows, TV Comedies, TV Dramas","A Miami baker and a fashionista try to make romance work despite the heat they face from jealous exes, prying family members and invasive paparazzi.",TV-PG
New Gods: Nezha Reborn,"Action & Adventure, Anime Features, International Movies","While living as an ordinary deliveryman and motor racing fan, Nezha encounters old nemeses and must rediscover his powers to protect his loved ones.",TV-14
"Nicky, Ricky, Dicky & Dawn","Kids' TV, TV Comedies","Just because they're quadruplets, that doesn't mean these 10-year-olds always get along. But for all the bickering, they're loyal to the last.",TV-G
Don't be the First one,"International TV Shows, Reality TV","Is marriage just better between funny people? Revealing their day-to-day lives, celebrity comedian couples explore the bonds that keep them together.",TV-14
The Stand-In,Comedies,"Her career in shambles, a reclusive movie star hires her stand-in to go to rehab for her, not expecting how much the look-alike will relish the role.",R
Heaven Official's Blessing,"Anime Series, International TV Shows, Romantic TV Shows","Banished to the mortal realm to exorcise ghosts, a deity must reckon with a demon and soon uncovers a dark secret behind the heavenly gods.",TV-14
Night in Paradise,"Dramas, International Movies","Hiding out in Jeju Island following a brutal tragedy, a wronged mobster with a target on his back connects with a woman who has her own demons.",TV-MA
Ojukokoro: Greed,"Dramas, International Movies, Thrillers","Down and out of luck, the manager of a shady gas station gets in over his head when he tries to steal from his grubby employers.",TV-MA
Roohi,"Comedies, Horror Movies, International Movies","Hired to kidnap a bride, two bumbling pals face a wacky predicament when one falls for their abductee — and the other, for the spirit possessing her.",TV-14
Thunder Force,"Action & Adventure, Comedies",Two childhood best friends reunite as an unlikely crime-fighting superhero duo when one invents a formula that gives ordinary people superpowers.,PG-13
Two Distant Strangers,Dramas,"In this Oscar-nominated short film, a man trying to go home to his dog gets stuck in a time loop that forces him to relive a deadly run-in with a cop.",TV-MA
Story of Kale: When Someone's in Love,"Dramas, International Movies, Romantic Movies","After leaving a toxic relationship, Dinda embarks on a romance with Kale, whose view on love soon shatters as he wrestles with his own insecurities.",TV-PG
The Way of the Househusband,"Anime Series, International TV Shows","After disappearing from the underworld, the legendary yakuza Tatsu, ""the Immortal Dragon,"" resurfaces — as a fiercely devoted stay-at-home husband.",TV-MA
Dolly Parton: A MusiCares Tribute,"Documentaries, Music & Musicals","In a star-studded evening of music and memories, a community of iconic performers honor Dolly Parton as the MusiCares Person of the Year.",TV-PG
The Big Day,"International TV Shows, Reality TV, Romantic TV Shows","For six engaged couples, happily ever after begins on a spectacular note in this eye-popping look at India’s multibillion-dollar wedding industry.",TV-14
The Wedding Coach,"Reality TV, Romantic TV Shows",Former bride and forever comedian Jamie Lee shares her irreverent yet practical tips and tricks for wedding planning with struggling lovebirds.,TV-MA
This Is a Robbery: The World's Biggest Art Heist,"Crime TV Shows, Docuseries, TV Mysteries","In 1990, two men dressed as cops con their way into a Boston museum and steal a fortune in art. Take a deep dive into this daring and notorious crime.",TV-MA
The Last Kids on Earth: Happy Apocalypse to You,"Children & Family Movies, Comedies","Help Jack and his monster-battling friends make choices to stay alive — and have some fun — in this interactive ""Last Kids on Earth"" adventure!",TV-Y7
Coded Bias,Documentaries,This documentary investigates the bias in algorithms after M.I.T. Media Lab researcher Joy Buolamwini uncovered flaws in facial recognition technology.,TV-MA
Mandela,"Comedies, Dramas, International Movies","Amid a local election with two rivals vying to win by any means necessary, a barber lands in a curiously powerful position as the single deciding vote.",TV-14
The Fisherman's Diary,"Dramas, International Movies","Inspired by Nobel Peace Prize winner Malala Yousafzai, a young girl defies the expectations of her father and village to pursue an education",TV-MA
What Lies Below,"Horror Movies, Thrillers","Back home at her lake house, a teenager begins to suspect that a sinister force lurks beneath the surface of her mother's too-perfect new lover.",TV-MA
Escape from Planet Earth,"Children & Family Movies, Comedies, Sci-Fi & Fantasy","This all-ages animated comedy follows the adventures of astronaut Scorch Supernova, a hero of the blue aliens who has a vast appetite for adventure.",PG
Accepted,Comedies,"Rejected by every college he applied to, a high school senior invents a fake university that will fool his parents and help his fellow outcasts.",PG-13
Air Strike,"Action & Adventure, Dramas, International Movies",The residents of Chongqing try to survive Japanese air raids as a U.S. military advisor trains a squadron of Chinese pilots desperate to fight back.,R
An American Girl: McKenna Shoots for the Stars,"Children & Family Movies, Comedies, Dramas","A talented young gymnast struggles with her schoolwork and an injury. But with help from her tutor, she gets her confidence back.",TV-Y
Concrete Cowboy,"Dramas, Independent Movies","Sent to live with his estranged father for the summer, a rebellious teen finds kinship in a tight-knit Philadelphia community of Black cowboys.",R
Cross: Rise of the Villains,Action & Adventure,"Armed with a mighty ancient amulet, a team of weapons experts joins forces to defend Los Angeles from supervillains with explosive powers of their own.",R
God Calling,"Dramas, Faith & Spirituality, International Movies","The loss of a child plunges Sade into a suicidal depression, but her suffering leads to faith – with a little assist from modern technology.",TV-MA
Irul,"International Movies, Thrillers","When a car breakdown forces a couple to seek shelter in a nearby home, conversations with the stranger inside soon suggest there’s a killer among them.",TV-MA
Just Say Yes,"Comedies, International Movies, Romantic Movies",Incurable romantic Lotte finds her life upended when her plans for a picture-perfect wedding unravel — just as her self-absorbed sister gets engaged.,TV-MA
Madame Claude,"Dramas, International Movies","In 1960s Paris, Madame Claude's influence extends beyond the world of sex work — until an affluent young woman threatens to change everything.",TV-MA
Wild Child,"Comedies, Romantic Movies","Accustomed to getting her way, a wealthy teenage girl from Los Angeles is sent to a strict boarding school in England to clean up her act.",PG-13
Woody Woodpecker,"Children & Family Movies, Comedies",A rascally bird with a distinctive laugh pecks back with a vengeance when his forest habitat is threatened by a slick lawyer building his dream home.,PG
2012,"Action & Adventure, Sci-Fi & Fantasy","When a flood of natural disasters begins to destroy the world, a divorced dad desperately tries to save his family by outrunning the cataclysmic chaos.",PG-13
3 Idiots,"Comedies, Dramas, International Movies","While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system.",PG-13
Ferrari Ki Sawaari,"Comedies, International Movies, Sports Movies",A father winds up involved with a stolen Ferrari as he tries to acquire the money to send his son to the leading cricket academy.,TV-PG
Glimpses of a Future,"Docuseries, International TV Shows","This docuseries celebrates the virtual collaborations between a group of artists, dancers and writers from around the world during the pandemic.",TV-PG
Ibrahim a Fate to Define,"Documentaries, International Movies","Raised in a quiet home, Lina searches for answers while investigating the mystery behind her father's disappearance in this documentary.",TV-PG
Insidious,"Horror Movies, Thrillers","A family moves into a new home, where their son falls into a coma and eerie events begin to reveal something far more sinister is lurking in the house.",PG-13
Into the Grizzly Maze,"Action & Adventure, Horror Movies",Estranged brothers Beckett and Rowan reunite in the Alaskan wild to confront a savage grizzly bear wreaking havoc on their hometown.,R
Kingsglaive: Final Fantasy XV,"Action & Adventure, Sci-Fi & Fantasy",King Regis of Lucis orders his Kingsglaive warriors to stop the army of Niflheim before it invades and steals the crystal that gives Lucis its power.,PG-13
Legally Blonde,"Comedies, Romantic Movies","When dazzling L.A. sorority girl Elle Woods gets dumped by her snobby boyfriend, she decides to win him back by following him to Harvard Law School.",PG-13
Madam Chief Minister,"Dramas, International Movies","Rising from disadvantage to become a state leader, a tenacious politician learns that with great power comes great responsibility, ruthlessness and risk.",TV-14
Magical Andes,"Docuseries, International TV Shows, Science & Nature TV","From Argentina to Colombia, this stunning documentary follows five characters who share their deep connection to South America's majestic mountains.",TV-G
Maximum Risk,Action & Adventure,"After discovering he's a twin when a look-alike turns up dead, a French cop assumes his brother's identity to uncover the truth and seek vengeance.",R
Murder Maps,"British TV Shows, Crime TV Shows, Docuseries",Dramatic reenactments paired with archival sources artfully illustrate how police brought some of Britain's most infamous killers to justice.,TV-MA
My Fair Lady,"Classic Movies, Music & Musicals","When a Cockney flower girl takes elocution lessons from an aloof professor, he decides to introduce her to high society, transforming both their lives.",G
Prank Encounters,"Reality TV, TV Comedies, TV Horror",Monstrous frights meet hilarious reveals on this hidden-camera prank show as real people become the stars of their own full-blown horror movie.,TV-MA
S.W.A.T.: Under Siege,"Action & Adventure, International Movies","When a S.W.A.T. team takes in a mysterious, high-profile prisoner, international threats unleash a barrage of attacks on their compound to retrieve him.",R
Secrets of Great British Castles,"British TV Shows, Docuseries, International TV Shows",Join historian Dan Jones on a journey back in time to the zenith of Britain's most iconic structures and their infamous inhabitants.,TV-PG
Seven Souls in the Skull Castle: Season Bird,"Action & Adventure, Dramas, International Movies","Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in this “Bird” version of the dynamic show performed in a 360º theater.",TV-14
Seven Souls in the Skull Castle: Season Flower,"Action & Adventure, Dramas, International Movies","Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in this “Flower” version of the bold show performed in a 360º theater.",TV-14
Seven Souls in the Skull Castle: Season Wind,"Action & Adventure, Dramas, International Movies","Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in this “Wind” version of the dynamic show performed in a 360º theater.",TV-14
Sniper: Ghost Shooter,Action & Adventure,Snipers ordered to protect a gas pipeline from terrorists suspect a security breach when they're targeted by a ghost shooter who knows their location.,R
Starship Troopers: Traitor of Mars,"Action & Adventure, Sci-Fi & Fantasy","When a corrupt official plans to sabotage the planet Mars, it’s up to Rico and a group of fresh recruits to fend off a surprise bug attack on their own.",R
Takers,Action & Adventure,An elite crew of bank robbers sets up a daring heist after a former associate persuades them to target an armored car that could be their biggest score.,PG-13
Tersanjung the Movie,"Dramas, International Movies, Romantic Movies","After growing up in a tumultuous household, Yura finds herself in a love triangle with two close friends as she faces a personal and financial crisis.",TV-14
The Knight and the Princess,"Action & Adventure, International Movies, Music & Musicals","A fictional account of the heroic quests of a 7th-century knight, from rescuing hostages abducted by pirates in the Indian Sea to taking on a tyrant.",TV-PG
The Pianist,"Dramas, Independent Movies, International Movies",Famed Polish pianist Wladyslaw Szpilman struggles to survive the onslaught of Nazi tyranny during World War II in this drama based on his memoirs.,R
The Stepfather,"Horror Movies, Thrillers",A series of mysterious events makes a teenager suspect that his mother's new boyfriend may be a dangerous serial killer known for preying on families.,PG-13
Universal Soldier: The Return,Action & Adventure,An ex-Universal Soldier working to design smarter cyborg warriors discovers that the supercomputer controlling the soldiers has a sinister agenda.,R
Wazir,"Dramas, International Movies, Thrillers","Helping an amputee grandmaster settle the score for his tragic past, a grieving detective unravels a conspiracy more complicated than he imagined.",TV-14
White Boy,Documentaries,"This true-crime documentary exposes new facts about alleged teen drug lord ""White Boy Rick"" and his lesser-known role as an FBI informant.",TV-MA
Worn Stories,"Docuseries, Reality TV","In this funny, heartfelt and moving docuseries, real people unpack the fascinating and quirky stories around their most meaningful pieces of clothing.",TV-MA
Yes Man,"Comedies, Romantic Movies","After a bitter divorce, a loan officer falls under the sway of a self-help guru who urges him to say yes to everything that comes his way for a year.",PG-13
At Eternity's Gate,Dramas,Wild artistic inspiration and emotional turmoil fill painter Vincent van Gogh's last years as he struggles to bring his unique vision to the world.,PG-13
Haunted: Latin America,"International TV Shows, Reality TV, Spanish-Language TV Shows","Real people's terrifying tales of the chilling, unexplained and paranormal come to life with dramatic reenactments in this reality series.",TV-14
Not a Game,"Documentaries, International Movies, Sports Movies","This documentary offers an honest look at our fraught, complex relationship to video games from the perspectives of gamers and their concerned parents.",TV-MA
Robocar Poli,"Kids' TV, Korean TV Shows","When disaster strikes in Brooms Town, police car Robocar Poli, fire truck Robotruck Roy and their friends on the rescue team race to save the day.",TV-Y
Yu-Gi-Oh!,"Anime Series, Kids' TV","The lives of young Yugi Moto and his friends Joey, Tristan, and Téa are forever changed when a fantasy card game becomes their reality.",TV-Y7
7 Yards: The Chris Norton Story,Documentaries,"The true story of former college football player Chris Norton, who defied the odds after a devastating accident — with the woman he loves by his side.",TV-PG
Octonauts & the Ring of Fire,Children & Family Movies,"When red-hot volcanoes start a chain reaction of disasters across the ocean, the Octonauts must work together to face their biggest challenge yet.",TV-Y
Rainbow High,Kids' TV,"The popular fashion dolls come to life in this animated series as they let their talents and true colors shine at the visual arts school, Rainbow High.",TV-Y
Mandela: Long Walk to Freedom,"Dramas, International Movies",This in-depth biopic portrays groundbreaking South African leader Nelson Mandela's fight against political oppression and virulent racism.,PG-13
Lawless,Dramas,"This true-to-life action saga profiles Virginia's bootlegging Bondurant brothers, whose exploits during the Prohibition era made them outlaw heroes.",R
Marked,"Documentaries, International Movies","This documentary explores Nigeria’s cultural practice of marking, including its origins and meaning as a symbol of identity, beauty and spirituality.",TV-PG
A Week Away,"Children & Family Movies, Faith & Spirituality, Music & Musicals","In this uplifting musical, a troubled teen takes a leap of faith by attending summer camp — and unexpectedly finds love, friends and a place to belong.",TV-PG
Bad Trip,Comedies,"In this hidden-camera prank comedy, two best friends bond on a wild road trip to New York as they pull real people into their raunchy, raucous antics.",TV-MA
Big Time Rush,Kids' TV,"After a talent agent discovers four talented pals and turns them into a boy band called Big Time Rush, they must adjust to their exciting new lives.",TV-G
Black Is Beltza,"Dramas, International Movies",A young Basque man is radicalized in 1960s America after being forbidden from participating in a parade on racial grounds.,TV-MA
Croupier,"Dramas, Independent Movies, Thrillers","A would-be writer lands a job as a croupier to make ends meet. But when he becomes involved with a gambler, he is lured into taking part in a heist.",TV-MA
Elizabeth and Margaret: Love and Loyalty,Documentaries,"This documentary takes an intimate look at the complex, widely misunderstood relationship between Queen Elizabeth II and her sister, Princess Margaret.",TV-PG
Keeping the Bees,"Dramas, International Movies",Ayşe returns from Germany to her Black Sea hometown and sets out to fulfill her mom's dying wish — to care for her beloved bee farms.,TV-14
Magic for Humans Spain,"International TV Shows, Reality TV, Spanish-Language TV Shows","In this Spanish adaptation of ""Magic for Humans,"" folks of all ages on the streets of Barcelona are amazed by tricks that inspire delight and wonder.",TV-MA
Ni de coña,"Comedies, International Movies","Trying to fix their relationships, four couples attend a spiritual retreat at a Caribbean resort, where temptation and mishaps add problems to the mix.",TV-MA
Pagglait,"Comedies, Dramas, International Movies","Widowed soon after marriage, a young woman grapples with an inability to grieve, quirky relatives and a startling discovery about her late husband.",TV-PG
The Irregulars,"British TV Shows, Crime TV Shows, International TV Shows","A crew of misfits investigates a series of supernatural crimes in Victorian London for Dr. Watson and his shadowy associate, Sherlock Holmes.",TV-14
Caught by a Wave,"Dramas, International Movies, Romantic Movies","After falling in love at a sailing summer camp in Sicily, reality comes crashing down on a teenage couple when a harsh truth prompts a pivotal decision.",TV-14
DOTA: Dragon's Blood,Anime Series,A conflicted yet courageous Dragon Knight must use the power of the dragon within to stop a deadly demon in this epic fantasy based on the online game.,TV-MA
Pui Pui Molcar,Kids' TV,They’re guinea pigs! And they’re cars! The fuzzy and adorable molcars have lots of fun adventures in this delightful stop-motion animation.,TV-Y7
Secret Magic Control Agency,"Children & Family Movies, Comedies","Hansel and Gretel of fairy tale fame — now acting as secret agents — must use magic, clever thinking and teamwork on a mission to find a missing king.",TV-Y7
Seaspiracy,Documentaries,"Passionate about ocean life, a filmmaker sets out to document the harm that humans do to marine species — and uncovers alarming global corruption.",TV-14
Loyiso Gola: Unlearning,Stand-Up Comedy,"South African comedian Loyiso Gola serves up filter-free humor as he riffs about race, identity, politics, and a school prank gone embarrassingly wrong!",TV-MA
Men on a Mission,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows","Male celebs play make-believe as high schoolers, welcoming star transfer students every week and engaging in battles of witty humor and slapstick.",TV-14
Navillera,"International TV Shows, TV Dramas",A 70-year-old with a dream and a 23-year-old with a gift lift each other out of harsh realities and rise to the challenge of becoming ballerinos.,TV-14
Philomena,"Dramas, Independent Movies, International Movies",A kind-hearted Irishwoman teams with an acerbic journalist to find the son she was forced to give up for adoption 50 years ago.,PG-13
Any Crybabies Around?,"Dramas, International Movies",An immature young father in Akita becomes an outcast in his community after a media incident. Two years later he returns to ineptly try to make amends.,TV-MA
Hospital,"Horror Movies, International Movies","In an abandoned hospital in Tainan, visitors seeking to communicate with their relatives' spirits are haunted by disturbing, supernatural occurrences.",TV-MA
Jiu Jitsu,Action & Adventure,"After the defeat of a celebrated war hero, an ancient order of fighters battles powerful space invaders as the fate of humanity hangs in the balance.",R
Mighty Morphin Power Rangers,Kids' TV,"Five average teens are chosen by an intergalactic wizard to become the Power Rangers, who must use their new powers to fight the evil Rita Repulsa.",TV-Y7
Alien TV,"Kids' TV, TV Comedies","Alien reporters Ixbee, Pixbee and Squee travel to a lovely but odd planet called Earth, where they attempt to make sense of humans and their hobbies.",TV-Y7
Country Comfort,TV Comedies,"After hitting the skids in her career, an aspiring country singer finds new life as a nanny for a handsome widower and his five charming children.",TV-PG
Formula 1: Drive to Survive,Docuseries,"Drivers, managers and team owners live life in the fast lane – both on and off the track – during one cutthroat season of Formula 1 racing.",TV-MA
Reframe THEATER EXPERIENCE with you,"International Movies, Music & Musicals","Perfume's Reframe 2019 concert, performed to great effect in the newly reconstructed Line Cube Shibuya, is recreated as a high-tech concert film.",TV-G
The Yin Yang Master,"Action & Adventure, International Movies","A feud erupts between realms, and Yin Yang master Qing Ming teams up with disgraced guard Yuan Boya to vanquish a demonic threat as a conspiracy looms.",TV-14
Who's the Boss,"Comedies, International Movies, Romantic Movies","A young, overworked ad executive with an overbearing boss starts her own side hustle and invents an employer once her business begins to flourish.",TV-MA
B: The Beginning,"Anime Series, Crime TV Shows, International TV Shows","Genius investigator Keith Flick rejoins the royal police force just as serial killer ""B"" emerges. Mysterious youth Koku may be an ally, or a target.",TV-MA
Deadly Illusions,Thrillers,"After a bestselling novelist suffering from writer's block hires a new nanny for her children, the line between fiction and reality starts to blur.",R
Get the Goat,"Action & Adventure, Comedies, International Movies","Two hapless cops find themselves in over their heads as they cross paths with dangerous criminals while searching for Celestina, a beloved goat mascot.",TV-14
Nate Bargatze: The Greatest Average American,Stand-Up Comedy,"Nate Bargatze touches on Zoom comedy shows, losing his phone, hotel breakfast fails, animal caddies, new math and much more in this special.",TV-G
Skylines,Action & Adventure,"When a mysterious alien virus begins to endanger humanity, an elite team of soldiers launches into space to end the threat for good.",R
The Fluffy Movie,Stand-Up Comedy,"Comedian Gabriel Iglesias takes the stage in San Jose, California, for a stand-up performance featuring wild stories and even wilder impersonations.",PG-13
The Present,"Dramas, International Movies","Yusuf and his daughter set out to buy his wife an anniversary gift, a gesture demanding much patience and negotiation skills in the West Bank.",TV-MA
Wave of Cinema: 90's Generation,"Documentaries, International Movies, Music & Musicals","Walk down memory lane and experience the soundtrack to beloved film ""Generasi 90an: Melankolia"" through nostalgic performances.",TV-PG
Catch.er,"Dramas, International Movies, Thrillers","A man becomes the prime suspect in his wife's murder, but the police investigation soon widens to other potential culprits with hidden motives.",TV-14
Operation Varsity Blues: The College Admissions Scandal,Documentaries,Reenactments drive this documentary investigating the mastermind behind a scam to get the kids of rich and famous families into top US universities.,R
Under Suspicion: Uncovering the Wesphael Case,"Crime TV Shows, Docuseries, International TV Shows","This docuseries follows the high-profile case of Belgian politician Bernard Wesphael, who was accused of murdering his wife in 2013.",TV-14
Get on Up,"Dramas, Music & Musicals",Music legend James Brown makes a turbulent journey from humble origins to superstardom as the Godfather of Soul in this biopic starring Chadwick Boseman.,PG-13
RebellComedy: Straight Outta the Zoo,Stand-Up Comedy,"The comics of RebellComedy take the stage and tackle mistaken identities, geriatric influencers, our flawed perceptions of animals and more.",TV-MA
Savages,"Dramas, Thrillers","With the help of a shady DEA agent, two weed entrepreneurs take on a merciless cartel leader who wants in on their business and kidnaps their lover.",R
Waffles + Mochi,Kids' TV,Curious puppet pals Waffles and Mochi travel the world exploring the wonders of food and culture while learning how to cook with fresh ingredients.,TV-Y
Abla Fahita: Drama Queen,"Crime TV Shows, International TV Shows, TV Comedies","Falsely incriminated, Abla Fahita is separated from her kids, but the self-indulgent diva will stop at nothing to redeem herself and reunite her family.",TV-14
C/O Kaadhal,"Dramas, International Movies, Romantic Movies","Cutting across conventions and expectations, four brave love stories blossom in this Tamil remake of the 2018 Telugu film ""Care of Kancharapalem.”",TV-14
The BFG,"Children & Family Movies, Dramas",A little orphan meets up with a kind giant who's supposed to eat her but instead protects her from some truly horrible giants who terrorize them both.,PG
The Last Blockbuster,Documentaries,"This nostalgic documentary reveals the real story of Blockbuster's demise, and how one last location in Oregon keeps the spirit of a bygone era alive.",TV-14
The Lost Pirate Kingdom,"Docuseries, Science & Nature TV, TV Action & Adventure",The real-life pirates of the Caribbean violently plunder the world's riches and form a surprisingly egalitarian republic in this documentary series.,TV-MA
Zero Chill,"British TV Shows, Kids' TV, TV Dramas","Talented teen figure skater Kayla is forced to leave everything behind when her family follows her twin brother, Mac, to a prestigious hockey academy.",TV-G
Audrey,Documentaries,"An intimate portrait of legendary Hollywood actress, fashion icon and humanitarian Audrey Hepburn, who stood for love above all else.",TV-14
Çarsi Pazar,"Comedies, International Movies",The slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall.,TV-MA
Just In Time,"Comedies, Dramas, International Movies",A meticulous clerk for a bookstore that has just been shuttered suddenly finds herself taking care of her cousin's witty 11-year-old daughter.,TV-G
Love Alarm,"International TV Shows, Korean TV Shows, Romantic TV Shows","In a world where an app alerts people if someone in the vicinity likes them, Kim Jojo experiences young love while coping with personal adversities.",TV-MA
Mucize,"Dramas, International Movies","Sent away from his family to a remote mountain town, teacher Mahir helps the villagers build a school – and inspires a path to hope for them all.",TV-14
Paper Lives,"Dramas, International Movies","In the streets of Istanbul, ailing waste warehouse worker Mehmet takes a small boy under his wing and must soon confront his own traumatic childhood.",TV-MA
Paradise PD,TV Comedies,"An eager young rookie joins the ragtag small-town police force led by his dad as they bumble, squabble and snort their way through a big drug case.",TV-MA
Quiet,"Dramas, International Movies, Music & Musicals",The lives of three Chilean teenage misfits converge as they try to find their place in an unequal society through hip-hop and lasting friendships.,TV-MA
Romantik Komedi,"Comedies, International Movies, Romantic Movies","Bored with her life and inspired by a friend's wedding, Esra quits her job and dumps her boyfriend, leading to a series of romantic misadventures.",TV-MA
